CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  2 2020  1 26  0    11.11     5.86     5.03     2.17
  3 2020  1 26  0    11.11     6.86     6.88     6.61
  4 2020  1 26  0    11.11     4.22     4.19     4.03
  5 2020  1 26  0    11.11     1.95     1.95     1.38
  6 2020  1 26  0    11.11    16.72    16.72     9.66
  7 2020  1 26  0    11.11     7.59     5.87     5.97
  8 2020  1 26  0    11.11     2.72     2.77     3.50
  9 2020  1 26  0    11.11     4.17     4.39     4.41
  1 2020  1 27  0     9.35     2.28     2.28     3.00
  2 2020  1 27  0     9.35     1.71     1.67     2.48
  3 2020  1 27  0     9.35     5.49     5.50     6.56
  4 2020  1 27  0     9.35     2.79     2.85     3.57
  5 2020  1 27  0     9.35     1.00     1.21     1.15
  6 2020  1 27  0     9.35     7.71     7.71     7.35
  7 2020  1 27  0     9.35     3.07     2.93     3.38
  8 2020  1 27  0     9.35     1.82     1.87     1.82
  9 2020  1 27  0     9.35     1.30     1.27     1.44
  1 2020  1 28  0    12.87     2.64     2.64     2.33
  2 2020  1 28  0    12.87     2.97     2.83     2.24
  3 2020  1 28  0    12.87     3.26     3.26     3.74
  4 2020  1 28  0    12.87     1.25     1.65     2.09
  5 2020  1 28  0    12.87     0.60     0.66     1.01
  6 2020  1 28  0    12.87     4.15     4.15     4.00
  7 2020  1 28  0    12.87     0.96     0.89     1.30
  8 2020  1 28  0    12.87     1.05     1.05     1.51
  9 2020  1 28  0    12.87     0.71     0.73     0.71
  1 2020  1 29  0    10.12     2.32     2.34     2.71
  2 2020  1 29  0    10.12     6.18     6.30     4.97
  3 2020  1 29  0    10.12     1.44     1.45     1.82
  4 2020  1 29  0    10.12     0.75     0.80     1.15
  5 2020  1 29  0    10.12     0.36     0.35     0.46
  6 2020  1 29  0    10.12     3.30     3.30     6.08
  7 2020  1 29  0    10.12     0.80     0.91     1.10
  8 2020  1 29  0    10.12     1.09     1.12     1.13
  9 2020  1 29  0    10.12     0.54     0.54     0.64
  1 2020  1 30  0    21.67     3.21     3.23     3.74
  2 2020  1 30  0    21.67     4.79     5.10     7.32
  3 2020  1 30  0    21.67     2.12     2.13     2.11
  4 2020  1 30  0    21.67     1.20     1.40     1.42
  5 2020  1 30  0    21.67     0.74     0.68     0.45
  6 2020  1 30  0    21.67     3.28     3.28     2.51
  7 2020  1 30  0    21.67     1.22     1.37     1.70
  8 2020  1 30  0    21.67     1.23     1.23     1.14
  9 2020  1 30  0    21.67     1.21     1.21     1.31
  1 2020  1 31  0    13.09     3.71     3.73     5.31
  2 2020  1 31  0    13.09    11.13    10.63    10.56
  3 2020  1 31  0    13.09     2.96     2.98     3.34
  4 2020  1 31  0    13.09     0.73     0.74     1.33
  5 2020  1 31  0    13.09     0.99     0.61     0.93
  6 2020  1 31  0    13.09     2.84     2.84     4.10
  7 2020  1 31  0    13.09     1.03     0.58     3.22
  8 2020  1 31  0    13.09     0.99     0.99     1.24
  9 2020  1 31  0    13.09     0.60     0.60     1.64
  1 2020  2  1  0     5.72     2.89     2.88     3.07
  2 2020  2  1  0     5.72     6.91     7.61     7.76
  3 2020  2  1  0     5.72     4.25     4.24     3.55
  4 2020  2  1  0     5.72     1.17     1.26     1.19
