CAM	Y	M	D	H	Obs	Pred0	Pred24	Pred48
9	2020	2	2	0	0.0	1.04	1.11	1.5
1	2020	2	3	0	0.0	0.88	0.88	1.8
2	2020	2	3	0	0.0	5.44	5.31	2.6
3	2020	2	3	0	0.0	3.73	3.72	2.63
4	2020	2	3	0	0.0	0.54	0.54	0.75
5	2020	2	3	0	0.0	1.43	1.01	0.22
6	2020	2	3	0	0.0	1.96	1.96	1.98
7	2020	2	3	0	0.0	0.46	0.17	0.29
8	2020	2	3	0	0.0	0.66	0.66	1.78
9	2020	2	3	0	0.0	0.64	0.61	0.5
1	2020	2	4	0	0.0	1.8	1.81	1.7
2	2020	2	4	0	0.0	4.03	3.95	3.89
3	2020	2	4	0	0.0	6.31	6.31	6.67
4	2020	2	4	0	0.0	1.84	1.77	1.59
5	2020	2	4	0	0.0	0.66	0.63	0.3
6	2020	2	4	0	0.0	7.06	7.06	9.31
7	2020	2	4	0	0.0	0.67	0.64	0.63
8	2020	2	4	0	0.0	1.26	1.27	1.2
9	2020	2	4	0	0.0	0.54	0.75	0.64
1	2020	2	5	0	0.0	0.66	0.66	1.1
2	2020	2	5	0	0.0	2.98	3.68	2.72
3	2020	2	5	0	0.0	0.93	0.93	2.76
4	2020	2	5	0	0.0	0.54	0.54	1.15
5	2020	2	5	0	0.0	0.56	0.37	0.34
6	2020	2	5	0	0.0	7.78	7.78	3.97
7	2020	2	5	0	0.0	0.3	0.25	0.57
8	2020	2	5	0	0.0	1.29	1.3	1.89
9	2020	2	5	0	0.0	0.5	0.5	0.65
1	2020	2	6	0	0.0	1.54	1.54	1.47
2	2020	2	6	0	0.0	6.39	4.66	4.4
3	2020	2	6	0	0.0	5.82	5.81	5.59
4	2020	2	6	0	0.0	1.51	1.49	1.63
5	2020	2	6	0	0.0	0.29	0.27	1.05
6	2020	2	6	0	0.0	5.7	5.7	7.82
7	2020	2	6	0	0.0	0.29	0.45	0.5
8	2020	2	6	0	0.0	1.66	1.66	1.86
9	2020	2	6	0	0.0	0.56	0.55	0.57
1	2020	2	7	0	0.0	2.37	2.38	2.32
2	2020	2	7	0	0.0	2.38	2.31	1.92
3	2020	2	7	0	0.0	5.07	5.1	5.7
4	2020	2	7	0	0.0	2.01	1.97	2.0
5	2020	2	7	0	0.0	0.83	0.29	0.84
6	2020	2	7	0	0.0	3.1	3.1	4.07
7	2020	2	7	0	0.0	0.84	0.87	0.67
8	2020	2	7	0	0.0	2.19	2.19	1.77
9	2020	2	7	0	0.0	0.59	0.59	0.57
1	2020	5	25	0	13.1	1.56	1.55	1.27
2	2020	5	25	0	13.1	2.04	1.91	2.06
3	2020	5	25	0	13.1	2.33	2.32	2.05
4	2020	5	25	0	13.1	5.85	4.82	3.15
5	2020	5	25	0	13.1	4.91	4.91	4.59
6	2020	5	25	0	13.1	3.04	3.04	3.02
7	2020	5	25	0	13.1	1.25	1.26	1.48
8	2020	5	25	0	13.1	4.94	4.96	4.46
9	2020	5	25	0	13.1	3.5	3.49	3.31
1	2020	5	26	0	2.4	2.12	2.13	1.4
2	2020	5	26	0	2.4	3.16	2.64	1.7
3	2020	5	26	0	2.4	3.11	3.11	1.96
4	2020	5	26	0	2.4	3.4	3.44	3.51
5	2020	5	26	0	2.4	5.06	5.06	3.98
6	2020	5	26	0	2.4	1.94	1.94	2.32
7	2020	5	26	0	2.4	1.84	1.8	1.45
8	2020	5	26	0	2.4	3.07	3.07	4.02
9	2020	5	26	0	2.4	4.36	4.42	3.72
1	2020	5	27	0	0.1	1.75	1.75	2.36
2	2020	5	27	0	0.1	5.16	4.88	5.05
3	2020	5	27	0	0.1	2.6	2.6	3.08
4	2020	5	27	0	0.1	2.75	2.87	1.94
5	2020	5	27	0	0.1	4.66	4.66	3.64
6	2020	5	27	0	0.1	2.8	2.8	3.84
7	2020	5	27	0	0.1	1.95	1.28	1.45
8	2020	5	27	0	0.1	3.81	3.82	3.83
9	2020	5	27	0	0.1	3.81	3.79	3.58
1	2020	5	28	0	0.0	4.21	4.21	3.19
2	2020	5	28	0	0.0	6.67	7.06	7.56
3	2020	5	28	0	0.0	7.23	7.24	9.14
4	2020	5	28	0	0.0	1.21	1.27	2.22
5	2020	5	28	0	0.0	1.31	1.31	1.65
6	2020	5	28	0	0.0	2.17	2.17	2.61
7	2020	5	28	0	0.0	2.69	2.96	3.3
8	2020	5	28	0	0.0	1.19	1.18	1.14
9	2020	5	28	0	0.0	6.63	7.12	7.1
1	2020	5	29	0	0.0	1.61	1.61	2.09
2	2020	5	29	0	0.0	5.3	4.95	4.08
3	2020	5	29	0	0.0	3.45	3.46	2.83
4	2020	5	29	0	0.0	0.82	0.87	0.62
5	2020	5	29	0	0.0	0.84	0.84	0.9
6	2020	5	29	0	0.0	1.37	1.37	2.06
7	2020	5	29	0	0.0	1.84	1.85	0.94
8	2020	5	29	0	0.0	1.36	1.37	1.3
9	2020	5	29	0	0.0	1.24	1.21	1.66
1	2020	5	30	0	0.0	2.32	2.32	1.58
2	2020	5	30	0	0.0	4.66	4.79	4.83
3	2020	5	30	0	0.0	7.44	7.43	7.33
4	2020	5	30	0	0.0	1.48	1.72	1.89
5	2020	5	30	0	0.0	0.64	0.64	0.43
6	2020	5	30	0	0.0	2.49	2.49	2.59
7	2020	5	30	0	0.0	0.67	1.34	2.63
8	2020	5	30	0	0.0	1.35	1.34	1.35
9	2020	5	30	0	0.0	2.92	2.88	2.54
1	2020	5	31	0	0.0	2.46	2.46	2.75
2	2020	5	31	0	0.0	3.44	3.37	3.59
3	2020	5	31	0	0.0	4.43	4.42	3.11
4	2020	5	31	0	0.0	1.8	2.01	1.58
5	2020	5	31	0	0.0	1.38	1.38	1.06
6	2020	5	31	0	0.0	2.33	2.33	2.17
7	2020	5	31	0	0.0	6.11	6.69	5.95
8	2020	5	31	0	0.0	2.81	2.8	3.23
9	2020	5	31	0	0.0	2.46	2.38	2.91
1	2020	6	1	0	1.4	2.13	2.12	1.93
2	2020	6	1	0	1.4	6.67	7.19	8.09
3	2020	6	1	0	1.4	4.34	4.33	3.8
4	2020	6	1	0	1.4	3.89	4.42	3.42
5	2020	6	1	0	1.4	4.15	4.15	3.82
6	2020	6	1	0	1.4	3.48	3.48	3.98
7	2020	6	1	0	1.4	5.99	5.65	4.67
8	2020	6	1	0	1.4	8.28	8.3	7.38
