CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  1 2020  2  7  0    15.55     5.39     5.42     3.60
  2 2020  2  7  0    15.55     9.31     7.47     6.01
  3 2020  2  7  0    15.55    19.51    19.62    18.12
  4 2020  2  7  0    15.55    23.10    23.61    21.37
  5 2020  2  7  0    15.55     7.69     7.87     7.85
  6 2020  2  7  0    15.55    22.66    22.66    28.19
  7 2020  2  7  0    15.55    11.89    16.17    17.15
  8 2020  2  7  0    15.55    11.41    10.63     9.72
  9 2020  2  7  0    15.55     1.65     2.27     2.93
  1 2020  2  8  0     5.23     5.80     5.79     3.18
  2 2020  2  8  0     5.23    14.11    14.91    18.07
  3 2020  2  8  0     5.23    26.30    26.26    20.20
  4 2020  2  8  0     5.23    17.85    17.85    13.92
  5 2020  2  8  0     5.23     8.39     7.06     9.34
  6 2020  2  8  0     5.23    13.47    13.47    14.03
  7 2020  2  8  0     5.23    12.79    13.20    11.18
  8 2020  2  8  0     5.23    10.40    11.13     5.86
  9 2020  2  8  0     5.23     4.08     4.44     2.26
  1 2020  2  9  0     3.34     2.87     2.86     5.02
  2 2020  2  9  0     3.34     4.93     8.11    11.34
  3 2020  2  9  0     3.34    17.00    16.94    24.51
  4 2020  2  9  0     3.34     8.18     8.26    15.16
  5 2020  2  9  0     3.34    16.41    15.64    16.32
  6 2020  2  9  0     3.34    10.39    10.39    20.79
  7 2020  2  9  0     3.34     4.99    13.28    19.42
  8 2020  2  9  0     3.34     7.61     6.46     8.25
  9 2020  2  9  0     3.34     0.73     0.81     3.92
  1 2020  2 10  0     0.44     1.11     1.12     1.56
  2 2020  2 10  0     0.44    13.00     8.91    16.39
  3 2020  2 10  0     0.44    23.83    23.89    27.80
  4 2020  2 10  0     0.44     9.35     9.34    12.94
  5 2020  2 10  0     0.44     7.98    15.29    14.09
  6 2020  2 10  0     0.44     2.84     2.84     2.80
  7 2020  2 10  0     0.44     3.03     2.42     2.67
  8 2020  2 10  0     0.44     1.36     3.57     3.35
  9 2020  2 10  0     0.44     0.74     0.80     0.85
  1 2020  2 11  0     3.29     1.04     1.03     1.15
  2 2020  2 11  0     3.29    25.51    14.03    12.62
  3 2020  2 11  0     3.29    13.13    13.11    15.47
  4 2020  2 11  0     3.29     7.20     7.20     7.54
  5 2020  2 11  0     3.29     4.21     5.12     3.60
  6 2020  2 11  0     3.29     5.04     5.04     2.57
  7 2020  2 11  0     3.29     2.86     2.80     7.36
  8 2020  2 11  0     3.29     1.26     1.70     1.57
  9 2020  2 11  0     3.29     0.69     0.66     0.60
  1 2020  2 12  0     2.13     2.50     2.50     3.41
  2 2020  2 12  0     2.13     9.27    12.59    11.22
  3 2020  2 12  0     2.13    13.70    13.72    15.44
  4 2020  2 12  0     2.13    16.68    16.69    23.27
  5 2020  2 12  0     2.13    12.02    11.95    19.20
  6 2020  2 12  0     2.13     3.82     3.82     7.92
  7 2020  2 12  0     2.13     3.42     3.50     3.70
  8 2020  2 12  0     2.13     1.88     5.84     5.24
  9 2020  2 12  0     2.13     1.40     1.35     1.70
  1 2020  2 13  0    12.90     1.67     1.68     2.38
