CAM	Y	M	D	H	Obs	Pred0	Pred24	Pred48
1	2020	1	29	0	8.1795	3.17	3.18	2.47
2	2020	1	29	0	8.1795	4.39	7.55	8.66
3	2020	1	29	0	8.1795	16.45	16.47	24.44
4	2020	1	29	0	8.1795	14.32	14.38	15.71
5	2020	1	29	0	8.1795	5.14	6.26	6.07
6	2020	1	29	0	8.1795	4.14	4.14	4.49
7	2020	1	29	0	8.1795	3.44	2.99	3.45
8	2020	1	29	0	8.1795	4.05	1.84	2.19
9	2020	1	29	0	8.1795	1.64	1.61	1.82
1	2020	1	30	0	3.64167	2.4	2.4	1.96
2	2020	1	30	0	3.64167	15.55	15.34	7.55
3	2020	1	30	0	3.64167	10.62	10.64	10.33
4	2020	1	30	0	3.64167	16.2	16.06	10.08
5	2020	1	30	0	3.64167	9.17	8.34	3.41
6	2020	1	30	0	3.64167	4.89	4.89	4.65
7	2020	1	30	0	3.64167	2.82	3.0	2.53
8	2020	1	30	0	3.64167	3.23	1.91	1.24
9	2020	1	30	0	3.64167	1.3	1.35	0.92
1	2020	1	31	0	2.32167	2.8	2.81	4.7
2	2020	1	31	0	2.32167	16.48	13.57	14.74
3	2020	1	31	0	2.32167	20.8	20.86	10.2
4	2020	1	31	0	2.32167	18.33	18.29	15.84
5	2020	1	31	0	2.32167	7.49	10.46	7.64
6	2020	1	31	0	2.32167	3.15	3.15	1.87
7	2020	1	31	0	2.32167	4.13	3.73	3.56
8	2020	1	31	0	2.32167	1.79	8.4	5.65
9	2020	1	31	0	2.32167	3.65	3.26	2.43
1	2020	2	1	0	11.0552	2.63	2.62	2.36
2	2020	2	1	0	11.0552	12.19	13.12	9.48
3	2020	2	1	0	11.0552	22.34	22.31	19.03
4	2020	2	1	0	11.0552	17.37	17.38	17.79
5	2020	2	1	0	11.0552	9.01	10.06	4.34
6	2020	2	1	0	11.0552	2.95	2.95	4.59
7	2020	2	1	0	11.0552	1.62	1.52	2.24
8	2020	2	1	0	11.0552	2.51	2.09	1.71
9	2020	2	1	0	11.0552	4.77	4.72	2.86
1	2020	2	2	0	3.72617	2.17	2.19	2.23
2	2020	2	2	0	3.72617	12.91	14.96	10.48
3	2020	2	2	0	3.72617	14.32	14.41	15.28
4	2020	2	2	0	3.72617	12.85	12.96	14.69
5	2020	2	2	0	3.72617	12.96	13.06	21.04
6	2020	2	2	0	3.72617	4.26	4.26	8.23
7	2020	2	2	0	3.72617	1.31	6.09	2.75
8	2020	2	2	0	3.72617	5.33	3.98	2.15
9	2020	2	2	0	3.72617	1.35	1.43	1.15
1	2020	2	3	0	12.0253	1.22	1.22	1.03
2	2020	2	3	0	12.0253	4.94	5.75	4.34
3	2020	2	3	0	12.0253	5.17	5.17	4.49
4	2020	2	3	0	12.0253	5.92	5.92	5.89
5	2020	2	3	0	12.0253	5.34	4.81	4.76
6	2020	2	3	0	12.0253	8.65	8.65	7.37
7	2020	2	3	0	12.0253	0.73	0.71	0.76
8	2020	2	3	0	12.0253	1.87	1.21	1.17
9	2020	2	3	0	12.0253	0.68	0.69	0.66
1	2020	2	4	0	14.9533	3.76	3.77	3.8
2	2020	2	4	0	14.9533	10.79	8.63	3.19
3	2020	2	4	0	14.9533	13.52	13.55	12.67
4	2020	2	4	0	14.9533	28.07	31.51	68.13
5	2020	2	4	0	14.9533	10.62	14.84	20.58
6	2020	2	4	0	14.9533	3.39	3.39	13.54
7	2020	2	4	0	14.9533	2.24	3.21	4.88
8	2020	2	4	0	14.9533	6.49	4.34	10.66
9	2020	2	4	0	14.9533	5.14	5.8	9.03
1	2020	2	5	0	4.827	2.31	2.31	5.41
2	2020	2	5	0	4.827	3.76	4.42	3.55
3	2020	2	5	0	4.827	14.22	14.5	28.56
4	2020	2	5	0	4.827	9.82	9.82	37.42
5	2020	2	5	0	4.827	10.36	16.34	18.13
6	2020	2	5	0	4.827	9.52	9.52	19.06
7	2020	2	5	0	4.827	1.31	1.56	16.43
8	2020	2	5	0	4.827	12.91	9.93	21.49
9	2020	2	5	0	4.827	1.86	2.28	6.14
